===== VARIABLES =====
0 int: {2,...,17}
1 int: {1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}
2 int: {1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17}
3 int: {1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17}
4 int: {1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17}
5 int: {1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17}
6 int: {1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17}
7 int: {1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}
8 int: {1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17}
9 int: {1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17}
10 int: {1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17}
11 int: {1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17}
12 int: {1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17}
13 int: {1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17}
14 int: {1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17}
15 int: {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17}
16 int: {1,...,16}
17 int: {0,...,633}
18 int: {0,...,745}
19 int: {0,...,472}
20 int: {0,...,661}
21 int: {0,...,528}
22 int: {0,...,488}
23 int: {0,...,572}
24 int: {0,...,530}
25 int: {0,...,555}
26 int: {0,...,685}
27 int: {0,...,542}
28 int: {0,...,638}
29 int: {0,...,567}
30 int: {0,...,466}
31 int: {0,...,483}
32 int: {0,...,745}
33 int: {0,...,518}
34 int: {0,...,9828}
35 int: {1,...,17}
36 int: {1,...,17}
37 int: {1,...,17}
38 int: {1,...,17}
39 int: {1,...,17}
40 int: {1,...,17}
41 int: {1,...,17}
42 int: {1,...,17}
43 int: {1,...,17}
44 int: {1,...,17}
45 int: {1,...,17}
46 int: {1,...,17}
47 int: {1,...,17}
48 int: {1,...,17}
49 int: {1,...,17}
50 int: {1,...,17}
51 int: {1,...,17}
52 int: {1,...,17}
53 int: {1,...,17}
54 int: {1,...,17}
55 int: {1,...,17}
56 int: {1,...,17}
57 int: {1,...,17}
58 int: {1,...,17}
59 int: {1,...,17}
60 int: {1,...,17}
61 int: {1,...,17}
62 int: {1,...,17}
63 int: {1,...,17}
64 int: {1,...,17}
65 int: {1,...,17}
66 int: {1,...,17}
67 int: {1,...,1}
68 int: {2,...,2}
69 int: {2,...,2}
70 int: {1,...,1}
71 int: {17,...,17}
72 int: {1,...,1}
73 int: {17,...,17}
74 int: {1,...,1}
75 int: {17,...,17}
76 int: {1,...,1}
77 int: {17,...,17}
78 int: {1,...,1}
79 int: {17,...,17}
80 int: {1,...,1}
81 int: {17,...,17}
82 int: {1,...,1}
83 int: {17,...,17}
84 int: {1,...,1}
85 int: {17,...,17}
86 int: {1,...,1}
87 int: {17,...,17}
88 int: {1,...,1}
89 int: {17,...,17}
90 int: {1,...,1}
91 int: {17,...,17}
92 int: {1,...,1}
93 int: {17,...,17}
94 int: {1,...,1}
95 int: {17,...,17}
96 int: {1,...,1}
97 int: {17,...,17}
98 int: {1,...,1}
99 int: {17,...,17}
100 int: {1,...,1}
101 int: {17,...,17}
102 int: {1,...,1}
0 bool: {false,true}
1 bool: {false,true}
2 bool: {false,true}
3 bool: {false,true}
4 bool: {false,true}
5 bool: {false,true}
6 bool: {false,true}
7 bool: {false,true}
8 bool: {false,true}
9 bool: {false,true}
10 bool: {false,true}
11 bool: {false,true}
12 bool: {false,true}
13 bool: {false,true}
14 bool: {false,true}
15 bool: {false,true}
16 bool: {false,true}
17 bool: {false,true}
18 bool: {false,true}
19 bool: {false,true}
20 bool: {false,true}
21 bool: {false,true}
22 bool: {false,true}
23 bool: {false,true}
24 bool: {false,true}
25 bool: {false,true}
26 bool: {false,true}
27 bool: {false,true}
28 bool: {false,true}
29 bool: {false,true}
30 bool: {false,true}
31 bool: {false,true}
32 bool: {false,true}
33 bool: {false,true}
34 bool: {false,true}
35 bool: {false,true}
36 bool: {false,true}
37 bool: {false,true}
38 bool: {false,true}
39 bool: {false,true}
40 bool: {false,true}
41 bool: {false,true}
42 bool: {false,true}
43 bool: {false,true}
44 bool: {false,true}
45 bool: {false,true}
46 bool: {false,true}
47 bool: {false,true}
48 bool: {true}
49 bool: {true}
50 bool: {true}
51 bool: {true}
52 bool: {true}
53 bool: {true}
54 bool: {true}
55 bool: {true}
56 bool: {true}
57 bool: {true}
58 bool: {true}
59 bool: {true}
60 bool: {true}
61 bool: {true}
62 bool: {true}
63 bool: {true}
===== CONSTRAINTS =====
0 int_lin_ne: Variables [0,1] | Constants [1,-1,0]
1 int_lin_ne: Variables [0,2] | Constants [1,-1,0]
2 int_lin_ne: Variables [0,3] | Constants [1,-1,0]
3 int_lin_ne: Variables [0,4] | Constants [1,-1,0]
4 int_lin_ne: Variables [0,5] | Constants [1,-1,0]
5 int_lin_ne: Variables [0,6] | Constants [1,-1,0]
6 int_lin_ne: Variables [0,7] | Constants [1,-1,0]
7 int_lin_ne: Variables [0,8] | Constants [1,-1,0]
8 int_lin_ne: Variables [0,9] | Constants [1,-1,0]
9 int_lin_ne: Variables [0,10] | Constants [1,-1,0]
10 int_lin_ne: Variables [0,11] | Constants [1,-1,0]
11 int_lin_ne: Variables [0,12] | Constants [1,-1,0]
12 int_lin_ne: Variables [0,13] | Constants [1,-1,0]
13 int_lin_ne: Variables [0,14] | Constants [1,-1,0]
14 int_lin_ne: Variables [0,15] | Constants [1,-1,0]
15 int_lin_ne: Variables [0,16] | Constants [1,-1,0]
16 int_lin_ne: Variables [1,2] | Constants [1,-1,0]
